,source,target,spec2vec,matched_peaks,_merge,cosine
509,674,671,0.966472685010772,0.0,right_only,0.0
510,676,668,0.9762330729614885,0.0,right_only,0.0
511,676,652,0.9738939647243308,0.0,right_only,0.0
512,676,586,0.9736299402656208,0.0,right_only,0.0
513,676,671,0.9697485950045943,0.0,right_only,0.0
514,676,677,0.969483551388447,0.0,right_only,0.0
515,676,669,0.9688777391096565,0.0,right_only,0.0
516,676,547,0.9660061963552784,0.0,right_only,0.0
517,677,669,0.9841180029611827,0.0,right_only,0.0
518,677,189,0.9911551642904515,0.0,right_only,0.0
519,677,547,0.9909317839029832,0.0,right_only,0.0
520,677,586,0.9860271489104602,0.0,right_only,0.0
521,677,652,0.9868172337340858,0.0,right_only,0.0
522,677,656,0.9879106641057669,0.0,right_only,0.0
523,677,668,0.9707167272214465,0.0,right_only,0.0
524,677,671,0.9916701670089565,0.0,right_only,0.0
525,660,646,0.9764259782689286,0.0,right_only,0.0
526,660,547,0.9580726290776409,0.0,right_only,0.0
527,660,189,0.9555018432035354,0.0,right_only,0.0
528,660,666,0.949685469555771,0.0,right_only,0.0
529,646,669,0.9722517835031386,0.0,right_only,0.0
530,646,652,0.9797975942351721,0.0,right_only,0.0
531,646,586,0.9733773652504141,0.0,right_only,0.0
532,646,547,0.9677655493196565,0.0,right_only,0.0
533,646,666,0.9656384024748479,0.0,right_only,0.0
534,547,669,0.9861021256369256,0.0,right_only,0.0
535,547,668,0.9678461821084228,0.0,right_only,0.0
536,547,652,0.988172952858698,0.0,right_only,0.0
537,547,189,0.9971930554489961,0.0,right_only,0.0
538,547,671,0.9993763662554198,0.0,right_only,0.0
539,547,656,0.9958879955537905,0.0,right_only,0.0
540,547,586,0.9864453081456306,0.0,right_only,0.0
541,189,669,0.9857829628582371,0.0,right_only,0.0
542,189,668,0.9697443136734851,0.0,right_only,0.0
543,189,652,0.9875920191616607,0.0,right_only,0.0
544,189,656,0.9949180710267032,0.0,right_only,0.0
545,189,586,0.9868307713839263,0.0,right_only,0.0
546,189,671,0.9975074627341516,0.0,right_only,0.0
547,666,652,0.9442117594384187,0.0,right_only,0.0
548,671,669,0.9863059606024991,0.0,right_only,0.0
549,671,668,0.9708721982385061,0.0,right_only,0.0
550,671,652,0.9879801419104675,0.0,right_only,0.0
551,671,656,0.995026226305497,0.0,right_only,0.0
552,671,586,0.9873623486421623,0.0,right_only,0.0
553,656,669,0.983584255162016,0.0,right_only,0.0
554,656,652,0.9860241336423977,0.0,right_only,0.0
555,656,586,0.9844531094726219,0.0,right_only,0.0
556,652,669,0.9942169998112259,0.0,right_only,0.0
557,652,668,0.9760153617763109,0.0,right_only,0.0
558,652,586,0.9963600794053615,0.0,right_only,0.0
559,586,669,0.9954671696923021,0.0,right_only,0.0
560,586,668,0.9763275510912053,0.0,right_only,0.0
561,669,668,0.9712835898215142,0.0,right_only,0.0
562,419,378,0.902604633953956,0.0,right_only,0.0
563,407,358,0.9271812517635178,0.0,right_only,0.0
